transformer_id,substation_id,capacity_kva,age_years,load_factor,temperature_c,vibration_mm_s,oil_quality_index,past_failures_5y,health_score,failed_last_year
TRF-00032,SUB-0017,250,1,0.591,58.1,2.18,92.2,1,100.0,0
TRF-00033,SUB-0028,2000,13,0.549,58.7,1.64,98.7,0,99.6,0
TRF-00034,SUB-0023,250,39,0.643,59.4,2.77,31.9,1,52.0,0
TRF-00035,SUB-0009,100,39,0.601,81.0,3.1,59.1,3,33.3,1
TRF-00036,SUB-0044,2000,38,0.597,81.3,1.75,55.2,4,32.7,1
TRF-00037,SUB-0016,2000,5,0.816,30.1,2.2,61.9,1,100.0,0
TRF-00038,SUB-0017,2000,5,0.734,46.9,2.63,57.6,0,100.0,0
TRF-00039,SUB-0041,1000,2,0.544,53.9,1.65,86.4,0,100.0,0
TRF-00040,SUB-0047,100,6,0.567,68.2,2.97,85.4,0,93.2,0
TRF-00041,SUB-0019,500,7,0.724,57.5,1.77,95.3,2,92.4,0
TRF-00042,SUB-0036,100,14,0.724,51.0,1.59,64.0,2,83.8,0
TRF-00043,SUB-0044,1000,28,0.559,71.9,3.01,61.1,1,60.5,0
TRF-00044,SUB-0017,250,32,0.615,62.1,4.27,40.1,2,46.6,0
TRF-00045,SUB-0016,100,29,0.927,62.3,2.65,85.7,3,58.8,0
TRF-00046,SUB-0008,2000,38,0.562,66.1,3.27,58.2,1,52.8,0
TRF-00047,SUB-0013,500,26,0.937,69.7,2.11,75.2,1,69.8,0
TRF-00048,SUB-0048,500,35,0.816,61.8,1.71,70.4,1,66.3,0
TRF-00049,SUB-0028,250,28,0.909,71.6,2.69,85.1,4,48.7,0
TRF-00050,SUB-0030,100,37,0.556,65.2,3.0,45.3,2,46.7,0
TRF-00051,SUB-0003,1000,32,0.625,51.8,2.35,71.3,1,71.6,0
TRF-00052,SUB-0017,250,36,0.583,65.4,3.22,58.0,1,55.1,0
TRF-00053,SUB-0019,100,26,0.819,50.6,2.0,96.0,0,90.0,0
TRF-00054,SUB-0046,1500,32,0.565,65.1,1.92,48.3,3,50.1,0
TRF-00055,SUB-0042,500,3,0.76,65.9,2.91,95.8,1,93.4,0
TRF-00056,SUB-0043,1000,21,0.752,48.4,3.27,72.7,1,79.8,0
TRF-00057,SUB-0008,2000,1,0.643,59.7,1.51,83.9,1,100.0,0
TRF-00058,SUB-0012,1000,9,0.845,47.8,3.56,75.4,1,90.4,0
TRF-00059,SUB-0014,2000,4,0.666,58.6,1.85,97.8,0,100.0,0
TRF-00060,SUB-0026,1000,9,0.775,68.0,2.25,78.6,0,92.1,0
TRF-00061,SUB-0014,500,32,0.576,39.0,2.57,37.9,1,70.5,0
TRF-00062,SUB-0027,2000,37,0.541,52.7,3.16,76.1,2,58.4,0
TRF-00063,SUB-0036,100,12,0.76,54.2,2.46,88.3,0,97.5,0
TRF-00064,SUB-0018,2000,30,0.715,67.8,2.81,70.8,0,69.5,0
TRF-00065,SUB-0025,250,35,0.686,63.5,1.88,42.1,3,47.1,0
TRF-00066,SUB-0025,100,23,0.598,61.3,1.11,51.6,0,82.0,0
TRF-00067,SUB-0024,250,14,0.882,83.7,3.19,43.4,3,51.0,0
TRF-00068,SUB-0025,1000,28,0.483,48.9,2.12,70.1,2,71.4,0
TRF-00069,SUB-0025,100,7,0.474,70.7,2.1,55.6,0,88.5,0
TRF-00070,SUB-0045,1000,4,0.791,52.0,2.34,51.8,0,98.9,0
TRF-00071,SUB-0027,1500,28,0.779,70.0,3.86,82.3,2,56.3,0
TRF-00072,SUB-0048,1000,3,0.703,81.4,2.19,89.7,1,87.3,0
TRF-00073,SUB-0017,1000,11,0.607,66.6,1.9,68.4,0,90.4,0
TRF-00074,SUB-0031,250,1,0.725,59.8,1.6,77.4,0,100.0,0
TRF-00075,SUB-0002,2000,26,0.908,82.0,2.49,28.3,3,40.8,0
TRF-00076,SUB-0001,1500,30,1.027,77.5,1.87,75.8,1,63.4,0
TRF-00077,SUB-0032,1000,35,0.402,55.9,2.72,48.6,1,60.9,0
TRF-00078,SUB-0041,1000,35,0.587,69.0,2.66,64.0,3,45.6,0
TRF-00079,SUB-0018,1500,25,0.578,41.9,3.81,27.7,2,62.3,0
TRF-00080,SUB-0016,1500,26,0.894,56.3,2.45,79.1,3,63.9,0
TRF-00081,SUB-0043,100,4,0.278,60.0,0.54,66.3,0,100.0,0
TRF-00082,SUB-0032,250,19,0.727,53.5,4.52,48.0,2,63.2,0
TRF-00083,SUB-0011,1500,10,0.611,61.3,2.97,68.9,2,77.8,0
TRF-00084,SUB-0048,1500,9,0.896,57.5,3.85,65.7,2,76.4,0
TRF-00085,SUB-0002,500,39,0.875,73.1,1.85,72.7,4,39.0,1
TRF-00086,SUB-0042,2000,37,0.705,61.0,2.56,51.5,3,45.7,0
TRF-00087,SUB-0048,1500,5,0.413,45.2,2.64,97.4,0,100.0,0
TRF-00088,SUB-0025,250,7,0.564,74.8,2.57,80.8,0,89.7,0
TRF-00089,SUB-0034,2000,22,0.58,55.7,2.69,80.2,1,79.2,0
TRF-00090,SUB-0007,2000,25,0.451,70.4,0.74,65.0,1,73.8,0
TRF-00091,SUB-0035,1000,11,0.823,75.5,0.85,92.5,0,94.9,0
TRF-00092,SUB-0006,1000,25,0.432,64.5,3.71,47.7,2,55.5,0
TRF-00093,SUB-0045,1000,12,0.945,48.3,3.6,74.5,0,93.1,0
TRF-00094,SUB-0045,1000,39,0.944,64.6,2.69,50.7,4,35.5,1
TRF-00095,SUB-0035,500,17,0.592,72.3,3.45,90.7,1,74.4,0
TRF-00096,SUB-0015,1500,24,0.699,64.7,1.66,88.1,1,78.5,0
TRF-00097,SUB-0023,1000,32,0.639,50.1,2.0,60.8,0,77.8,0
TRF-00098,SUB-0000,100,39,0.785,73.9,1.9,37.2,1,49.3,0
TRF-00099,SUB-0048,1000,11,0.841,67.5,1.54,79.8,1,87.6,0
TRF-00100,SUB-0024,1500,35,0.689,61.2,3.28,34.0,3,41.1,0
TRF-00101,SUB-0009,1000,3,0.72,63.2,1.37,100.0,1,100.0,0
TRF-00102,SUB-0015,500,4,0.557,59.1,3.87,70.5,0,92.9,0
TRF-00103,SUB-0015,250,36,0.716,63.4,3.09,57.9,3,44.6,0
TRF-00104,SUB-0007,250,7,0.674,41.6,3.01,65.6,1,95.5,0
TRF-00105,SUB-0028,1500,27,0.513,76.0,2.93,50.3,3,45.5,0
TRF-00106,SUB-0038,250,30,0.648,73.1,3.57,73.1,4,40.3,0
TRF-00107,SUB-0027,250,8,0.593,64.4,1.47,72.8,0,96.8,0
TRF-00108,SUB-0005,100,28,0.559,81.9,3.72,63.8,3,41.2,0
TRF-00109,SUB-0015,1500,13,0.478,70.2,2.37,57.1,1,76.6,0
TRF-00110,SUB-0019,1500,39,0.659,74.9,3.75,69.4,4,29.8,1
TRF-00111,SUB-0015,250,21,0.533,34.7,1.27,81.8,1,96.5,0
TRF-00112,SUB-0006,250,10,0.579,72.4,2.34,70.9,0,87.1,0
TRF-00113,SUB-0040,250,22,0.811,62.6,2.56,85.8,0,83.3,0
TRF-00114,SUB-0013,2000,0,0.745,58.7,1.5,78.4,1,100.0,0
TRF-00115,SUB-0042,500,36,0.503,69.6,2.97,70.1,3,44.4,0
TRF-00116,SUB-0025,1000,20,0.703,70.3,3.63,43.7,2,56.6,0
TRF-00117,SUB-0025,500,25,0.67,76.0,1.94,70.3,3,55.3,0
TRF-00118,SUB-0013,1500,35,0.905,73.1,3.47,54.9,0,56.6,0
TRF-00119,SUB-0006,100,22,0.857,67.3,1.54,69.1,0,81.7,0
TRF-00120,SUB-0032,1000,0,0.42,57.8,3.69,81.7,0,100.0,0
TRF-00121,SUB-0025,100,39,0.779,26.5,3.41,58.5,1,71.2,0
TRF-00122,SUB-0044,2000,14,0.84,55.7,3.66,80.8,2,76.6,0
TRF-00123,SUB-0019,1500,20,0.734,49.7,2.94,59.5,1,78.8,0
TRF-00124,SUB-0002,2000,8,0.6,71.9,2.47,83.7,0,91.2,0
TRF-00125,SUB-0003,1500,8,1.012,64.8,2.79,93.7,0,95.4,0
TRF-00126,SUB-0025,100,9,0.748,52.2,2.07,53.4,1,89.7,0
TRF-00127,SUB-0010,100,25,0.946,58.2,1.21,53.3,1,75.7,0
TRF-00128,SUB-0001,100,34,0.853,60.5,3.04,48.5,5,34.2,1
TRF-00129,SUB-0013,1500,24,0.72,57.3,1.88,49.2,2,67.6,0
TRF-00130,SUB-0043,250,25,0.563,45.2,1.62,57.9,0,87.5,0
TRF-00131,SUB-0029,100,10,0.646,38.1,2.71,89.5,0,100.0,0
TRF-00132,SUB-0048,2000,37,0.617,66.4,2.52,79.5,3,48.8,0
TRF-00133,SUB-0011,1000,1,0.468,68.2,2.84,81.0,0,97.3,0
TRF-00134,SUB-0025,1500,6,0.748,50.3,1.49,71.5,0,100.0,0
TRF-00135,SUB-0043,2000,17,0.885,63.7,1.96,81.8,0,88.8,0
TRF-00136,SUB-0032,500,26,0.605,71.6,3.44,28.9,1,54.3,0
TRF-00137,SUB-0012,500,33,0.975,53.0,2.88,44.4,1,62.6,0
TRF-00138,SUB-0013,1000,26,0.416,62.6,1.34,29.6,1,67.4,0
TRF-00139,SUB-0023,250,16,0.808,51.8,2.53,54.4,0,88.0,0
TRF-00140,SUB-0033,100,23,0.901,81.2,3.64,54.7,1,56.6,0
TRF-00141,SUB-0043,1500,24,0.619,80.9,2.1,87.8,2,62.6,0
TRF-00142,SUB-0025,2000,6,0.622,44.9,2.6,35.0,0,96.3,0
TRF-00143,SUB-0020,100,5,0.806,61.1,1.42,70.7,1,94.9,0
TRF-00144,SUB-0027,2000,23,0.726,74.7,2.35,75.5,4,51.1,0
TRF-00145,SUB-0047,1500,32,0.35,74.8,3.51,67.0,1,54.7,0
TRF-00146,SUB-0035,500,28,0.523,64.4,2.74,85.1,3,58.2,0
TRF-00147,SUB-0039,100,21,0.648,77.0,3.45,69.8,1,64.3,0
TRF-00148,SUB-0001,1000,25,0.445,51.6,2.84,70.6,0,81.9,0
TRF-00149,SUB-0041,250,27,0.579,59.5,4.31,36.2,2,51.5,0
TRF-00150,SUB-0008,1000,20,0.448,50.5,1.15,53.2,2,78.3,0
TRF-00151,SUB-0022,250,6,0.594,66.2,1.95,49.7,1,85.2,0
TRF-00152,SUB-0014,2000,16,0.6,52.8,1.45,79.0,1,90.7,0
TRF-00153,SUB-0012,100,19,0.703,58.6,1.57,73.8,0,89.6,0
TRF-00154,SUB-0022,100,19,0.636,68.1,1.57,73.3,0,84.7,0
TRF-00155,SUB-0016,250,21,0.725,69.7,2.55,54.2,3,56.4,0
TRF-00156,SUB-0047,500,27,0.708,52.2,2.72,49.2,1,70.0,0
TRF-00157,SUB-0001,1500,39,0.805,79.4,3.12,59.7,0,52.2,0
TRF-00158,SUB-0019,1000,6,0.781,62.3,1.22,66.4,1,93.4,0
TRF-00159,SUB-0019,2000,0,0.765,42.0,1.74,64.7,0,100.0,0
TRF-00160,SUB-0045,1000,31,1.116,48.4,1.85,53.8,0,78.8,0
TRF-00161,SUB-0002,1000,12,0.702,58.4,2.99,62.9,1,82.1,0
TRF-00162,SUB-0011,2000,29,1.039,73.9,1.88,49.6,2,54.8,0
TRF-00163,SUB-0039,2000,22,0.712,72.1,2.27,48.4,0,72.3,0
TRF-00164,SUB-0001,100,18,0.638,64.7,2.81,75.9,2,70.9,0
TRF-00165,SUB-0035,1000,31,0.594,64.9,2.13,84.7,4,51.6,0
TRF-00166,SUB-0013,1500,29,0.876,69.8,3.14,62.0,4,42.3,0
TRF-00167,SUB-0015,1500,28,0.896,53.1,3.84,66.5,1,67.7,0
TRF-00168,SUB-0018,250,28,0.74,83.6,2.71,71.2,1,57.9,0
TRF-00169,SUB-0033,2000,29,0.82,83.8,3.3,68.1,2,47.9,0
TRF-00170,SUB-0043,100,15,0.458,64.6,0.64,58.3,1,84.8,0
TRF-00171,SUB-0045,1500,39,0.418,69.1,2.44,82.4,4,40.6,0
TRF-00172,SUB-0005,500,18,0.837,55.5,2.51,57.8,1,79.1,0
TRF-00173,SUB-0012,100,17,0.631,66.4,1.5,79.5,1,82.9,0
TRF-00174,SUB-0035,100,0,0.762,46.7,2.17,88.0,1,100.0,0
TRF-00175,SUB-0021,1500,13,0.542,32.2,3.11,42.8,0,95.8,0
TRF-00176,SUB-0017,500,1,0.899,25.0,0.52,74.0,2,100.0,0
TRF-00177,SUB-0011,250,27,0.419,53.5,1.59,64.6,0,83.0,0
TRF-00178,SUB-0029,1500,29,0.442,65.6,2.73,64.6,0,70.6,0
TRF-00179,SUB-0039,500,37,0.867,70.1,3.11,62.3,1,53.2,0
TRF-00180,SUB-0006,100,3,0.259,50.1,2.65,89.6,0,100.0,0
TRF-00181,SUB-0031,500,0,0.707,56.7,2.09,79.9,0,100.0,0
TRF-00182,SUB-0047,100,7,0.634,53.8,2.51,81.1,1,94.5,0
TRF-00183,SUB-0018,1500,28,0.54,51.4,3.28,62.5,2,64.0,0
TRF-00184,SUB-0005,2000,38,0.62,65.8,2.43,41.9,2,47.1,0
TRF-00185,SUB-0019,1500,2,0.523,65.4,1.55,79.3,0,100.0,0
TRF-00186,SUB-0026,1000,31,0.881,52.9,2.49,72.6,2,65.8,0
TRF-00187,SUB-0042,1000,9,0.921,46.3,2.34,91.2,1,99.2,0
TRF-00188,SUB-0036,1000,9,0.547,44.9,1.65,82.7,0,100.0,0
TRF-00189,SUB-0047,1500,18,0.691,37.2,2.04,89.2,0,100.0,0
TRF-00190,SUB-0006,250,33,0.451,59.1,2.98,66.5,6,33.6,1
TRF-00191,SUB-0004,1500,32,0.811,73.2,2.77,73.8,4,41.8,0
TRF-00192,SUB-0010,2000,22,0.807,63.7,2.29,80.9,1,76.9,0
TRF-00193,SUB-0014,500,27,0.606,61.1,1.15,60.4,0,80.2,0
TRF-00194,SUB-0002,1500,31,0.653,65.8,2.62,72.3,3,52.7,0
TRF-00195,SUB-0004,1500,6,0.636,50.9,1.34,62.3,2,91.7,0
TRF-00196,SUB-0022,100,28,0.407,40.0,3.35,68.4,6,46.6,0
TRF-00197,SUB-0036,100,7,0.882,66.5,1.89,84.5,2,85.3,0
TRF-00198,SUB-0008,100,0,0.535,67.9,1.2,95.8,0,100.0,0
TRF-00199,SUB-0014,1500,2,0.536,46.9,1.99,91.1,1,100.0,0
TRF-00200,SUB-0002,250,23,0.627,60.1,3.48,82.2,2,67.3,0
TRF-00201,SUB-0028,500,22,0.799,58.8,2.94,65.3,1,73.6,0
TRF-00202,SUB-0005,500,7,0.561,61.3,2.32,70.6,3,77.4,0
TRF-00203,SUB-0016,2000,36,0.357,86.1,1.66,54.3,3,38.3,1
TRF-00204,SUB-0025,250,2,0.517,69.5,3.34,82.8,0,94.2,0
TRF-00205,SUB-0020,250,32,0.714,60.1,2.14,33.7,3,48.8,0
TRF-00206,SUB-0007,500,27,0.978,69.6,3.29,83.8,2,60.0,0
TRF-00207,SUB-0020,1000,7,0.461,72.2,1.88,76.5,0,92.9,0
TRF-00208,SUB-0010,100,33,0.456,69.8,3.33,54.0,1,54.4,0
TRF-00209,SUB-0037,100,34,0.423,65.1,3.73,21.7,1,47.8,0
TRF-00210,SUB-0007,500,31,0.404,69.7,3.14,60.8,6,28.4,1
TRF-00211,SUB-0041,250,23,0.831,53.5,3.06,63.2,2,68.5,0
TRF-00212,SUB-0023,2000,13,0.874,52.2,2.18,58.7,1,86.7,0
TRF-00213,SUB-0034,1000,31,0.677,51.5,2.27,51.3,0,75.0,0
TRF-00214,SUB-0013,500,15,0.58,63.2,2.41,70.6,3,68.9,0
TRF-00215,SUB-0013,100,3,0.919,54.3,1.79,69.4,0,100.0,0
TRF-00216,SUB-0009,1500,36,0.676,55.9,4.69,67.0,3,43.8,0
TRF-00217,SUB-0011,250,20,0.813,59.0,1.61,56.8,1,78.9,0
TRF-00218,SUB-0037,1500,13,0.573,64.5,3.06,74.5,3,68.2,0
TRF-00219,SUB-0043,2000,30,0.657,87.0,3.01,79.7,2,48.9,0
TRF-00220,SUB-0045,500,17,0.464,72.2,2.52,69.3,1,73.8,0
TRF-00221,SUB-0033,100,6,0.744,29.4,3.3,81.7,1,100.0,0
TRF-00222,SUB-0040,1000,9,0.679,60.6,2.42,79.0,1,89.2,0
TRF-00223,SUB-0009,1500,6,0.516,74.0,1.61,76.5,1,88.0,0
TRF-00224,SUB-0016,1000,32,0.518,48.5,2.87,59.8,3,56.9,0
TRF-00225,SUB-0016,2000,22,0.892,68.2,2.29,58.2,1,70.1,0
TRF-00226,SUB-0002,100,20,0.946,58.2,2.8,70.3,2,71.3,0
TRF-00227,SUB-0030,1500,18,0.618,74.2,3.01,65.0,1,69.1,0
TRF-00228,SUB-0000,2000,18,0.66,65.3,1.67,92.4,4,66.5,0
TRF-00229,SUB-0011,1000,35,0.71,54.9,3.66,71.2,0,68.2,0
TRF-00230,SUB-0038,1000,28,0.672,61.0,2.36,41.4,0,70.7,0
TRF-00231,SUB-0003,1500,17,0.399,58.4,2.69,48.8,2,70.0,0
TRF-00232,SUB-0041,100,1,0.714,53.8,2.51,77.4,0,100.0,0
TRF-00233,SUB-0012,1000,0,0.337,68.4,2.29,74.1,0,98.9,0
TRF-00234,SUB-0033,500,4,0.54,46.1,1.99,74.9,0,100.0,0
TRF-00235,SUB-0041,2000,19,0.726,72.7,1.99,78.4,1,75.7,0
TRF-00236,SUB-0020,1500,10,0.74,54.4,1.98,78.7,2,87.1,0
TRF-00237,SUB-0021,250,1,0.528,58.0,3.27,84.0,1,95.3,0
TRF-00238,SUB-0003,250,2,0.581,56.5,1.35,100.0,2,100.0,0
TRF-00239,SUB-0017,100,22,0.561,61.3,1.86,46.0,3,60.8,0
TRF-00240,SUB-0004,500,11,0.635,58.1,1.61,75.0,4,73.1,0
TRF-00241,SUB-0018,1000,19,0.646,78.2,2.49,59.9,4,49.3,0
TRF-00242,SUB-0001,250,4,0.75,66.3,0.86,99.1,0,100.0,0
TRF-00243,SUB-0011,100,36,0.572,61.4,1.64,25.3,4,38.9,1
TRF-00244,SUB-0016,2000,37,0.706,85.1,2.53,25.3,2,34.6,1
TRF-00245,SUB-0009,500,29,0.726,67.0,1.55,67.2,1,69.1,0
TRF-00246,SUB-0033,500,8,0.68,61.7,1.19,92.1,1,97.1,0
TRF-00247,SUB-0005,100,33,0.611,54.9,1.64,71.8,3,60.2,0
TRF-00248,SUB-0007,100,34,0.677,59.2,2.0,47.6,1,62.8,0
TRF-00249,SUB-0010,1000,21,0.763,53.0,3.0,90.0,2,76.1,0
TRF-00250,SUB-0011,100,23,0.776,62.9,3.22,47.7,2,60.0,0
TRF-00251,SUB-0008,1000,16,0.922,67.5,3.86,90.0,1,75.9,0
TRF-00252,SUB-0001,1000,9,0.501,62.1,3.69,58.1,0,85.2,0
TRF-00253,SUB-0007,1500,29,0.584,82.8,3.21,57.3,1,52.7,0
TRF-00254,SUB-0010,500,22,0.408,50.9,3.26,76.4,1,78.5,0
TRF-00255,SUB-0035,2000,31,0.79,65.7,2.72,39.4,2,51.7,0
TRF-00256,SUB-0009,500,16,0.6,44.4,2.74,92.4,1,92.4,0
TRF-00257,SUB-0020,500,16,0.681,48.7,3.87,65.0,2,74.2,0
TRF-00258,SUB-0019,1500,13,0.559,74.1,2.56,74.3,0,83.4,0
TRF-00259,SUB-0047,1000,8,0.601,51.8,3.08,92.6,0,100.0,0
TRF-00260,SUB-0007,1000,39,0.833,57.1,2.03,44.7,1,58.7,0
TRF-00261,SUB-0035,100,1,0.754,29.7,1.49,95.3,0,100.0,0
TRF-00262,SUB-0028,1500,24,0.633,52.4,2.73,90.2,1,80.8,0
TRF-00263,SUB-0041,100,38,0.765,63.9,2.88,47.4,2,47.3,0
TRF-00264,SUB-0011,1500,8,0.768,41.1,1.66,95.7,0,100.0,0
TRF-00265,SUB-0013,100,21,0.591,58.1,4.35,41.0,3,52.3,0
TRF-00266,SUB-0047,250,3,0.43,71.1,2.2,84.0,0,97.2,0
TRF-00267,SUB-0049,500,25,0.515,54.0,2.15,46.6,2,66.7,0
TRF-00268,SUB-0020,500,28,0.449,52.1,2.68,77.3,1,75.0,0
TRF-00269,SUB-0021,2000,33,0.825,51.4,2.68,73.1,3,58.0,0
TRF-00270,SUB-0020,1000,22,0.851,47.9,2.59,98.0,1,87.0,0
TRF-00271,SUB-0043,2000,36,0.888,72.2,1.45,79.7,3,51.2,0
TRF-00272,SUB-0049,250,10,0.347,58.6,3.23,71.5,0,90.6,0
TRF-00273,SUB-0029,2000,5,0.811,68.0,3.18,60.8,1,82.4,0
TRF-00274,SUB-0038,500,17,0.982,84.3,3.52,78.3,1,65.6,0
TRF-00275,SUB-0019,1000,20,0.817,39.0,2.66,67.1,1,86.8,0
TRF-00276,SUB-0023,250,35,0.327,70.1,3.23,82.3,3,46.5,0
TRF-00277,SUB-0022,500,37,0.915,52.7,2.05,25.3,2,52.7,0
TRF-00278,SUB-0006,100,33,0.656,74.4,3.33,93.0,2,53.9,0
TRF-00279,SUB-0008,1500,16,0.615,56.5,2.52,78.4,1,84.4,0
TRF-00280,SUB-0000,250,36,0.718,66.1,2.35,46.2,1,55.9,0
TRF-00281,SUB-0025,1000,24,0.493,46.8,3.17,76.6,1,79.1,0
TRF-00282,SUB-0037,2000,37,0.65,61.0,3.46,77.3,4,41.3,0
TRF-00283,SUB-0037,2000,11,0.893,59.4,2.27,75.1,0,93.9,0
TRF-00284,SUB-0043,250,22,0.743,77.9,2.79,40.3,1,59.7,0
TRF-00285,SUB-0021,1000,21,0.659,51.8,1.59,63.0,0,88.9,0
TRF-00286,SUB-0043,250,20,0.663,54.4,3.39,83.6,1,79.4,0
TRF-00287,SUB-0009,1000,26,0.473,74.1,1.8,71.8,2,62.2,0
TRF-00288,SUB-0005,2000,30,0.628,53.7,2.04,59.7,2,65.4,0
TRF-00289,SUB-0016,500,5,0.405,70.2,2.15,96.6,0,98.6,0
TRF-00290,SUB-0049,100,26,0.803,62.7,3.41,75.5,0,74.2,0
TRF-00291,SUB-0037,500,39,0.322,70.3,3.67,68.8,1,50.3,0
TRF-00292,SUB-0023,100,33,0.778,69.3,2.66,54.0,5,33.3,1
TRF-00293,SUB-0009,2000,11,0.797,50.9,2.84,65.8,0,94.0,0
TRF-00294,SUB-0007,500,6,0.848,61.5,0.77,50.9,1,92.5,0
TRF-00295,SUB-0020,500,9,0.663,48.4,1.6,70.7,0,100.0,0
TRF-00296,SUB-0005,250,16,0.787,53.8,1.76,84.4,1,90.1,0
TRF-00297,SUB-0020,1500,25,0.626,69.2,3.5,61.9,5,38.8,1
TRF-00298,SUB-0038,2000,20,0.472,64.5,2.92,74.7,0,80.5,0
TRF-00299,SUB-0023,1000,27,0.88,62.2,2.69,80.5,1,71.4,0
TRF-00300,SUB-0032,2000,1,0.635,40.2,2.25,85.0,0,100.0,0
TRF-00301,SUB-0017,1000,0,0.439,42.9,3.25,87.1,0,100.0,0
TRF-00302,SUB-0027,1000,35,0.58,68.8,2.56,38.6,3,41.1,0
TRF-00303,SUB-0031,100,25,0.586,71.3,1.45,60.2,0,75.6,0
TRF-00304,SUB-0011,1000,28,0.719,50.1,3.43,89.1,5,51.4,0
TRF-00305,SUB-0047,1000,20,1.002,50.9,2.55,69.6,1,81.8,0
TRF-00306,SUB-0041,250,10,0.728,59.6,2.96,100.0,1,90.8,0
TRF-00307,SUB-0026,500,39,0.681,68.1,2.74,45.8,6,20.5,1
TRF-00308,SUB-0009,2000,10,1.018,38.5,1.53,77.5,2,96.6,0
TRF-00309,SUB-0045,2000,35,0.797,67.4,3.02,53.3,2,48.8,0
TRF-00310,SUB-0041,1000,38,0.688,59.2,2.77,66.1,2,53.8,0
TRF-00311,SUB-0031,1500,39,0.578,86.4,2.93,70.0,4,27.5,1
TRF-00312,SUB-0041,2000,34,0.697,68.2,3.97,68.6,0,60.6,0
TRF-00313,SUB-0025,1000,33,0.64,70.0,1.78,75.8,1,64.9,0
TRF-00314,SUB-0024,100,23,0.664,67.3,2.69,66.0,3,57.6,0
TRF-00315,SUB-0010,100,21,0.847,46.7,1.76,64.5,1,85.1,0
TRF-00316,SUB-0022,100,4,0.569,79.5,0.2,51.2,0,93.6,0
TRF-00317,SUB-0033,1000,32,0.727,45.1,2.6,70.4,2,67.8,0
TRF-00318,SUB-0039,250,35,0.792,75.0,2.72,61.6,1,53.9,0
TRF-00319,SUB-0022,1500,19,0.551,68.1,2.88,67.6,2,66.3,0
TRF-00320,SUB-0028,1000,18,0.527,54.7,2.19,66.3,2,76.5,0
TRF-00321,SUB-0030,250,34,0.627,73.2,1.49,59.0,6,30.2,1
TRF-00322,SUB-0006,250,16,0.581,56.0,1.66,66.9,0,91.8,0
TRF-00323,SUB-0039,2000,33,0.823,56.8,3.71,52.3,2,53.0,0
TRF-00324,SUB-0032,1000,8,0.5,63.0,1.49,78.8,1,92.6,0
TRF-00325,SUB-0020,1000,25,0.66,50.4,3.77,72.3,1,73.2,0
