line_id,from_substation,to_substation,voltage_kv,length_km,capacity_mw,current_load_pct
LN-0117,SUB-0015,SUB-0046,220,178.5,87.5,20.3
LN-0119,SUB-0015,SUB-0042,132,252.1,626.0,77.5
LN-0120,SUB-0048,SUB-0012,500,121.7,246.2,68.5
LN-0121,SUB-0039,SUB-0002,132,155.1,418.5,69.0
LN-0122,SUB-0011,SUB-0017,220,88.6,768.5,45.5
LN-0123,SUB-0031,SUB-0046,132,210.0,457.9,69.4
LN-0124,SUB-0004,SUB-0025,220,202.2,364.5,86.7
LN-0125,SUB-0035,SUB-0009,132,177.9,78.2,58.7
LN-0126,SUB-0027,SUB-0003,220,188.9,488.6,62.3
LN-0127,SUB-0043,SUB-0036,132,269.8,711.2,85.4
LN-0128,SUB-0003,SUB-0011,220,246.4,457.1,29.5
LN-0129,SUB-0038,SUB-0015,500,39.2,636.3,66.9
LN-0130,SUB-0038,SUB-0016,500,193.5,714.5,57.0
LN-0131,SUB-0028,SUB-0039,500,50.2,355.5,52.5
LN-0132,SUB-0018,SUB-0030,500,46.2,358.7,51.8
LN-0133,SUB-0024,SUB-0025,132,135.9,741.0,69.4
LN-0134,SUB-0034,SUB-0001,132,146.7,305.5,90.0
LN-0135,SUB-0023,SUB-0028,220,33.0,546.1,70.7
LN-0136,SUB-0018,SUB-0029,132,154.5,514.9,40.6
LN-0137,SUB-0022,SUB-0047,132,54.6,413.9,30.7
LN-0138,SUB-0030,SUB-0046,220,166.1,531.5,96.3
LN-0139,SUB-0018,SUB-0010,132,250.0,577.4,43.7
LN-0140,SUB-0031,SUB-0036,500,27.6,743.6,56.4
LN-0141,SUB-0012,SUB-0033,500,121.0,650.6,21.4
LN-0142,SUB-0045,SUB-0006,132,71.6,318.5,83.3
LN-0143,SUB-0017,SUB-0038,132,173.2,374.1,81.9
LN-0144,SUB-0006,SUB-0028,220,268.3,727.7,74.2
LN-0145,SUB-0044,SUB-0032,132,60.8,253.2,47.8
LN-0146,SUB-0023,SUB-0048,500,203.5,293.6,49.1
LN-0147,SUB-0045,SUB-0026,220,29.7,566.8,58.7
LN-0148,SUB-0016,SUB-0015,220,164.6,133.1,51.4
LN-0149,SUB-0014,SUB-0016,220,203.5,640.4,33.1
LN-0150,SUB-0008,SUB-0010,132,201.9,761.3,38.0
LN-0151,SUB-0033,SUB-0013,132,222.0,532.4,45.8
LN-0152,SUB-0034,SUB-0012,132,126.4,104.2,21.6
LN-0153,SUB-0007,SUB-0034,220,228.5,228.9,46.6
LN-0154,SUB-0049,SUB-0025,220,142.9,123.1,84.0
LN-0155,SUB-0010,SUB-0024,500,98.2,281.8,56.6
LN-0156,SUB-0023,SUB-0039,500,97.9,754.7,34.5
LN-0157,SUB-0041,SUB-0043,132,54.4,319.4,74.2
LN-0158,SUB-0029,SUB-0042,132,216.7,188.3,21.7
LN-0159,SUB-0020,SUB-0011,500,49.0,546.2,32.1
LN-0160,SUB-0042,SUB-0046,500,191.6,724.7,65.4
LN-0161,SUB-0034,SUB-0003,132,200.3,75.9,72.4
LN-0162,SUB-0011,SUB-0041,132,87.4,551.3,43.0
LN-0163,SUB-0008,SUB-0047,132,147.6,266.8,41.7
LN-0164,SUB-0011,SUB-0040,132,201.9,330.6,21.6
LN-0165,SUB-0027,SUB-0048,500,2.1,227.9,42.2
LN-0166,SUB-0028,SUB-0026,132,83.9,729.6,94.8
LN-0167,SUB-0045,SUB-0044,132,115.1,714.5,51.0
LN-0168,SUB-0044,SUB-0007,500,279.4,503.6,45.6
LN-0169,SUB-0039,SUB-0007,500,140.3,62.1,68.9
LN-0170,SUB-0034,SUB-0028,132,153.1,759.9,97.1
LN-0171,SUB-0028,SUB-0002,132,199.9,400.6,54.1
LN-0172,SUB-0005,SUB-0020,220,136.5,416.7,27.4
LN-0173,SUB-0015,SUB-0030,132,130.9,629.7,76.0
LN-0174,SUB-0045,SUB-0012,132,292.4,510.3,90.0
LN-0175,SUB-0027,SUB-0030,500,244.1,141.1,73.1
LN-0176,SUB-0000,SUB-0016,132,211.1,129.0,58.8
LN-0177,SUB-0028,SUB-0047,132,145.2,239.1,39.2
LN-0178,SUB-0039,SUB-0031,220,105.2,102.9,54.8
LN-0179,SUB-0005,SUB-0023,132,178.4,674.7,52.9
LN-0180,SUB-0026,SUB-0001,132,135.0,79.6,95.1
LN-0181,SUB-0036,SUB-0041,500,141.0,759.5,22.9
LN-0182,SUB-0021,SUB-0002,220,68.0,133.3,48.4
LN-0183,SUB-0006,SUB-0025,132,237.8,693.2,44.3
LN-0184,SUB-0000,SUB-0001,220,237.7,227.9,96.6
LN-0185,SUB-0012,SUB-0032,132,91.7,545.6,20.5
LN-0186,SUB-0047,SUB-0033,132,88.2,306.6,42.8
LN-0187,SUB-0043,SUB-0025,500,84.9,100.5,96.0
LN-0188,SUB-0013,SUB-0033,132,50.5,597.8,32.4
LN-0189,SUB-0014,SUB-0037,220,257.8,655.9,81.6
LN-0190,SUB-0011,SUB-0013,220,81.1,274.1,64.0
LN-0191,SUB-0048,SUB-0030,132,210.2,638.4,90.7
LN-0192,SUB-0040,SUB-0019,220,31.7,393.1,88.1
LN-0193,SUB-0003,SUB-0009,500,221.1,597.1,64.9
LN-0194,SUB-0049,SUB-0019,220,45.9,534.0,63.2
LN-0195,SUB-0043,SUB-0032,220,49.3,747.4,31.8
LN-0196,SUB-0042,SUB-0044,132,249.8,296.0,24.7
LN-0197,SUB-0020,SUB-0047,220,88.7,132.5,77.1
LN-0199,SUB-0020,SUB-0045,220,162.0,659.6,82.0
