meter_id,consumer_id,region,consumer_type,expected_monthly_kwh,actual_monthly_kwh,usage_ratio,night_usage_ratio,voltage_variance,billing_disputes_1y,is_theft_flag_ground_truth
MTR-002111,CUS-002111,Multan,Residential,184.1,190.4,1.034,0.346,1.9,0,0
MTR-000203,CUS-000203,Faisalabad,Commercial,517.9,471.4,0.91,0.256,2.53,1,0
MTR-002418,CUS-002418,Peshawar,Residential,222.1,193.4,0.871,0.277,2.09,0,0
MTR-000152,CUS-000152,Peshawar,Residential,231.0,215.1,0.931,0.252,3.09,0,0
MTR-002901,CUS-002901,Multan,Residential,130.5,31.9,0.245,0.655,5.03,4,1
MTR-001359,CUS-001359,Multan,Commercial,848.2,799.8,0.943,0.308,0.87,0,0
MTR-000772,CUS-000772,Multan,Commercial,1181.5,1115.6,0.944,0.323,1.24,0,0
MTR-002678,CUS-002678,Rawalpindi,Residential,180.9,214.0,1.183,0.246,1.59,1,0
MTR-001001,CUS-001001,Peshawar,Residential,131.3,124.2,0.946,0.387,2.13,0,0
MTR-000718,CUS-000718,Islamabad,Residential,94.6,97.5,1.03,0.265,1.67,0,0
MTR-000612,CUS-000612,Multan,Industrial,2860.3,3408.9,1.192,0.249,0.81,0,0
MTR-000842,CUS-000842,Peshawar,Commercial,663.1,578.2,0.872,0.342,0.65,0,0
MTR-000266,CUS-000266,Rawalpindi,Commercial,584.1,540.3,0.925,0.177,0.72,0,0
MTR-000051,CUS-000051,Multan,Commercial,1086.0,1015.7,0.935,0.373,1.71,1,0
MTR-001195,CUS-001195,Rawalpindi,Industrial,3262.2,2606.7,0.799,0.268,1.19,0,0
MTR-001270,CUS-001270,Peshawar,Residential,216.6,209.8,0.969,0.379,1.62,0,0
MTR-001491,CUS-001491,Islamabad,Residential,224.5,255.8,1.14,0.403,3.33,0,0
MTR-001582,CUS-001582,Rawalpindi,Residential,207.5,228.6,1.101,0.351,0.83,0,0
MTR-000521,CUS-000521,Faisalabad,Commercial,1006.0,1148.7,1.142,0.235,2.3,1,0
MTR-001694,CUS-001694,Peshawar,Residential,229.0,211.6,0.924,0.2,0.82,1,0
MTR-002663,CUS-002663,Lahore,Residential,145.7,126.0,0.864,0.185,0.67,0,0
MTR-002748,CUS-002748,Rawalpindi,Commercial,781.6,993.2,1.271,0.388,2.37,0,0
MTR-001921,CUS-001921,Faisalabad,Residential,230.6,236.5,1.026,0.289,2.67,1,0
MTR-000102,CUS-000102,Multan,Residential,70.8,57.1,0.807,0.252,2.79,0,0
MTR-000695,CUS-000695,Multan,Residential,215.7,282.0,1.307,0.289,3.11,0,0
MTR-002332,CUS-002332,Multan,Residential,222.6,220.2,0.989,0.386,1.82,0,0
MTR-002724,CUS-002724,Faisalabad,Residential,140.7,90.9,0.646,0.362,2.27,0,0
MTR-002272,CUS-002272,Islamabad,Residential,208.1,244.4,1.175,0.335,1.61,0,0
MTR-002482,CUS-002482,Lahore,Commercial,607.4,439.0,0.723,0.351,3.29,0,0
MTR-001842,CUS-001842,Karachi,Residential,140.0,144.8,1.035,0.314,1.09,0,0
MTR-001830,CUS-001830,Peshawar,Residential,249.9,275.2,1.101,0.324,2.5,0,0
MTR-000794,CUS-000794,Faisalabad,Residential,203.9,220.6,1.082,0.318,0.93,1,0
MTR-001820,CUS-001820,Faisalabad,Industrial,4329.1,5137.5,1.187,0.3,2.11,0,0
MTR-002001,CUS-002001,Faisalabad,Residential,229.3,257.3,1.122,0.36,0.39,1,0
MTR-000144,CUS-000144,Faisalabad,Residential,149.2,182.4,1.223,0.329,2.23,0,0
MTR-002525,CUS-002525,Rawalpindi,Industrial,3163.9,3128.6,0.989,0.23,3.97,0,0
MTR-001330,CUS-001330,Multan,Residential,187.6,178.3,0.95,0.342,1.44,0,0
MTR-002477,CUS-002477,Peshawar,Residential,147.1,141.0,0.958,0.32,1.76,0,0
MTR-002881,CUS-002881,Multan,Commercial,820.7,956.0,1.165,0.349,2.87,0,0
MTR-000321,CUS-000321,Karachi,Residential,199.5,184.2,0.923,0.292,2.04,0,0
MTR-001261,CUS-001261,Rawalpindi,Residential,193.3,213.0,1.102,0.365,3.22,0,0
MTR-002414,CUS-002414,Faisalabad,Residential,161.8,145.1,0.897,0.295,2.39,1,0
MTR-001269,CUS-001269,Rawalpindi,Residential,245.7,220.9,0.899,0.358,2.88,1,0
MTR-001760,CUS-001760,Lahore,Residential,121.7,139.0,1.142,0.263,0.1,0,0
MTR-000416,CUS-000416,Lahore,Residential,125.8,132.4,1.052,0.269,2.09,0,0
MTR-002631,CUS-002631,Rawalpindi,Residential,153.3,113.6,0.741,0.348,0.89,0,0
MTR-002291,CUS-002291,Karachi,Residential,238.1,213.7,0.898,0.273,1.61,0,0
MTR-000174,CUS-000174,Multan,Industrial,5455.7,3772.6,0.691,0.476,2.43,1,0
MTR-001725,CUS-001725,Peshawar,Residential,172.2,164.4,0.955,0.345,1.77,0,0
MTR-002175,CUS-002175,Karachi,Residential,63.0,60.9,0.967,0.302,1.22,0,0
MTR-000045,CUS-000045,Lahore,Commercial,835.4,787.9,0.943,0.366,3.25,0,0
MTR-000685,CUS-000685,Karachi,Residential,167.8,192.1,1.145,0.262,3.01,0,0
MTR-001607,CUS-001607,Multan,Industrial,5008.4,5256.6,1.05,0.374,0.63,1,0
MTR-001231,CUS-001231,Peshawar,Commercial,963.0,1248.0,1.296,0.372,2.76,0,0
MTR-000862,CUS-000862,Lahore,Commercial,545.6,580.6,1.064,0.4,2.17,0,0
MTR-001965,CUS-001965,Peshawar,Residential,46.5,49.6,1.066,0.265,2.24,1,0
MTR-000331,CUS-000331,Rawalpindi,Commercial,635.9,656.7,1.033,0.202,3.56,0,0
MTR-000093,CUS-000093,Peshawar,Commercial,1051.2,1017.3,0.968,0.251,2.15,0,0
MTR-001641,CUS-001641,Multan,Residential,172.9,51.8,0.3,0.9,7.14,2,1
MTR-002986,CUS-002986,Peshawar,Residential,155.9,151.5,0.972,0.433,2.21,1,0
MTR-000506,CUS-000506,Islamabad,Residential,97.3,95.1,0.977,0.476,2.22,0,0
MTR-002909,CUS-002909,Karachi,Residential,166.8,164.9,0.989,0.328,1.07,0,0
MTR-002045,CUS-002045,Multan,Residential,156.3,168.2,1.076,0.301,4.45,0,0
MTR-000495,CUS-000495,Peshawar,Commercial,945.5,979.5,1.036,0.272,0.1,0,0
MTR-002132,CUS-002132,Multan,Residential,110.5,103.6,0.938,0.366,1.27,1,0
MTR-000000,CUS-000000,Rawalpindi,Commercial,1253.7,1142.7,0.911,0.475,1.51,0,0
MTR-000314,CUS-000314,Karachi,Industrial,2722.1,2795.4,1.027,0.443,2.91,1,0
MTR-001272,CUS-001272,Islamabad,Residential,146.5,130.2,0.889,0.391,0.59,0,0
MTR-001941,CUS-001941,Karachi,Commercial,1122.4,1064.9,0.949,0.39,1.82,1,0
MTR-002967,CUS-002967,Karachi,Residential,96.3,90.2,0.936,0.367,2.79,1,0
MTR-001316,CUS-001316,Rawalpindi,Commercial,904.9,1168.3,1.291,0.296,0.78,0,0
MTR-000755,CUS-000755,Karachi,Industrial,4244.5,3595.5,0.847,0.241,1.86,0,0
MTR-001770,CUS-001770,Islamabad,Residential,221.1,200.1,0.905,0.298,1.83,0,0
MTR-001200,CUS-001200,Karachi,Residential,271.9,253.8,0.933,0.334,1.4,0,0
MTR-002174,CUS-002174,Islamabad,Residential,135.7,128.3,0.946,0.184,2.04,0,0
MTR-001991,CUS-001991,Faisalabad,Residential,193.1,216.3,1.12,0.288,1.57,2,0
MTR-000879,CUS-000879,Karachi,Residential,213.7,207.2,0.969,0.234,2.97,0,0
MTR-000765,CUS-000765,Karachi,Residential,95.9,80.7,0.841,0.381,2.53,0,0
MTR-000927,CUS-000927,Islamabad,Commercial,949.4,1112.4,1.172,0.256,1.82,0,0
MTR-002377,CUS-002377,Peshawar,Residential,16.9,17.4,1.032,0.326,2.07,1,0
MTR-001374,CUS-001374,Lahore,Industrial,3085.1,3240.8,1.05,0.244,1.61,0,0
MTR-001814,CUS-001814,Multan,Residential,165.8,178.7,1.078,0.428,3.34,0,0
MTR-001798,CUS-001798,Islamabad,Residential,163.8,139.6,0.852,0.164,2.45,0,0
MTR-000929,CUS-000929,Multan,Residential,126.7,126.6,0.999,0.338,1.86,0,0
MTR-000436,CUS-000436,Faisalabad,Commercial,1093.0,1200.7,1.099,0.198,2.44,0,0
MTR-000196,CUS-000196,Peshawar,Residential,156.0,144.0,0.923,0.259,3.89,0,0
MTR-001762,CUS-001762,Faisalabad,Residential,114.8,119.0,1.037,0.316,1.31,0,0
MTR-001064,CUS-001064,Islamabad,Residential,246.4,262.5,1.065,0.32,2.88,0,0
MTR-002342,CUS-002342,Peshawar,Residential,200.5,165.4,0.825,0.318,2.41,1,0
MTR-002528,CUS-002528,Peshawar,Residential,20.8,18.2,0.876,0.312,1.78,0,0
MTR-001268,CUS-001268,Karachi,Commercial,1142.2,829.0,0.726,0.249,1.27,0,0
MTR-002323,CUS-002323,Faisalabad,Residential,249.8,256.6,1.027,0.287,2.86,0,0
MTR-002779,CUS-002779,Multan,Commercial,1314.9,1612.3,1.226,0.303,2.29,1,0
MTR-002225,CUS-002225,Faisalabad,Residential,154.9,142.0,0.917,0.316,3.44,2,0
MTR-000450,CUS-000450,Lahore,Industrial,3568.3,3485.8,0.977,0.295,3.17,0,0
MTR-002164,CUS-002164,Karachi,Commercial,1006.2,1128.6,1.122,0.358,2.3,0,0
MTR-002372,CUS-002372,Rawalpindi,Residential,191.2,197.3,1.032,0.307,1.28,0,0
MTR-002012,CUS-002012,Islamabad,Residential,141.1,124.6,0.883,0.316,4.05,1,0
MTR-000270,CUS-000270,Lahore,Industrial,8002.2,9467.9,1.183,0.269,1.38,0,0
MTR-001840,CUS-001840,Lahore,Residential,266.7,273.0,1.024,0.216,2.83,1,0
MTR-002934,CUS-002934,Peshawar,Residential,163.9,159.3,0.972,0.312,0.23,0,0
MTR-000978,CUS-000978,Lahore,Residential,287.9,282.7,0.982,0.397,3.57,1,0
MTR-002166,CUS-002166,Faisalabad,Residential,187.9,201.2,1.071,0.336,0.1,1,0
MTR-000354,CUS-000354,Islamabad,Residential,65.5,25.1,0.383,0.583,6.39,2,1
MTR-001876,CUS-001876,Lahore,Commercial,788.1,936.7,1.189,0.365,0.94,0,0
MTR-000184,CUS-000184,Islamabad,Residential,181.5,208.9,1.151,0.273,3.4,0,0
MTR-002744,CUS-002744,Faisalabad,Industrial,3210.7,3214.0,1.001,0.357,1.26,1,0
MTR-001614,CUS-001614,Peshawar,Residential,285.7,287.8,1.007,0.27,2.53,0,0
MTR-002759,CUS-002759,Peshawar,Residential,229.7,206.4,0.898,0.328,2.27,0,0
MTR-001706,CUS-001706,Multan,Residential,156.0,144.1,0.924,0.259,0.55,0,0
MTR-001861,CUS-001861,Peshawar,Residential,164.8,142.3,0.864,0.261,3.03,0,0
MTR-000246,CUS-000246,Rawalpindi,Residential,141.7,138.2,0.976,0.175,1.98,1,0
MTR-000555,CUS-000555,Rawalpindi,Residential,186.0,187.4,1.007,0.341,3.51,0,0
MTR-001752,CUS-001752,Faisalabad,Commercial,1395.8,522.9,0.375,0.625,8.6,1,1
MTR-001364,CUS-001364,Lahore,Residential,201.2,217.8,1.083,0.334,1.24,0,0
MTR-000067,CUS-000067,Rawalpindi,Residential,130.6,117.0,0.895,0.322,1.8,0,0
MTR-002618,CUS-002618,Lahore,Residential,182.7,191.7,1.049,0.239,1.77,0,0
MTR-002284,CUS-002284,Peshawar,Residential,190.3,208.7,1.097,0.377,2.78,2,0
MTR-000532,CUS-000532,Lahore,Residential,120.2,139.1,1.157,0.379,2.75,0,0
MTR-002873,CUS-002873,Rawalpindi,Residential,95.6,108.2,1.132,0.237,1.33,1,0
MTR-002705,CUS-002705,Lahore,Residential,217.9,261.2,1.199,0.343,2.95,1,0
MTR-001502,CUS-001502,Lahore,Residential,246.0,270.1,1.098,0.37,2.41,0,0
MTR-000761,CUS-000761,Karachi,Residential,201.6,205.7,1.02,0.262,2.67,0,0
MTR-002752,CUS-002752,Peshawar,Residential,167.3,157.8,0.943,0.276,2.52,1,0
MTR-001211,CUS-001211,Multan,Industrial,2857.4,2816.4,0.986,0.343,2.83,0,0
MTR-002243,CUS-002243,Peshawar,Residential,238.4,285.0,1.196,0.179,1.07,0,0
MTR-001793,CUS-001793,Lahore,Residential,169.3,165.3,0.976,0.213,2.19,2,0
MTR-000535,CUS-000535,Karachi,Residential,158.8,158.7,0.999,0.221,3.01,1,0
MTR-001746,CUS-001746,Lahore,Residential,152.0,178.9,1.177,0.156,3.12,0,0
MTR-000463,CUS-000463,Faisalabad,Residential,118.2,114.9,0.972,0.387,3.11,1,0
MTR-002677,CUS-002677,Islamabad,Residential,233.3,211.0,0.905,0.141,1.11,0,0
MTR-001839,CUS-001839,Peshawar,Residential,139.6,158.6,1.136,0.327,4.08,0,0
MTR-002862,CUS-002862,Peshawar,Industrial,4297.4,3870.7,0.901,0.365,3.77,0,0
MTR-000124,CUS-000124,Faisalabad,Residential,150.9,158.2,1.048,0.277,1.13,0,0
MTR-000178,CUS-000178,Faisalabad,Residential,177.2,182.1,1.027,0.247,1.7,0,0
MTR-000192,CUS-000192,Lahore,Commercial,804.5,835.0,1.038,0.319,2.69,0,0
MTR-002307,CUS-002307,Multan,Commercial,799.3,170.4,0.213,0.645,6.01,3,1
MTR-001429,CUS-001429,Peshawar,Commercial,1533.8,1677.4,1.094,0.38,2.58,0,0
MTR-001691,CUS-001691,Multan,Industrial,5171.3,5134.4,0.993,0.09,2.21,0,0
MTR-000741,CUS-000741,Rawalpindi,Commercial,876.5,941.3,1.074,0.227,3.29,1,0
MTR-001034,CUS-001034,Peshawar,Residential,218.5,231.6,1.06,0.345,2.43,0,0
MTR-001966,CUS-001966,Multan,Residential,193.6,200.9,1.038,0.304,0.1,0,0
MTR-000478,CUS-000478,Multan,Commercial,1002.3,954.5,0.952,0.36,2.86,0,0
MTR-001027,CUS-001027,Peshawar,Residential,76.2,72.7,0.954,0.321,3.23,0,0
MTR-002601,CUS-002601,Rawalpindi,Residential,229.7,228.2,0.993,0.289,1.94,0,0
MTR-000368,CUS-000368,Lahore,Residential,209.1,213.4,1.021,0.276,2.15,0,0
MTR-002523,CUS-002523,Lahore,Residential,202.2,191.9,0.949,0.486,2.15,0,0
MTR-000845,CUS-000845,Islamabad,Residential,88.5,98.5,1.113,0.423,1.41,0,0
MTR-000256,CUS-000256,Faisalabad,Commercial,965.1,927.1,0.961,0.34,4.47,2,0
MTR-001222,CUS-001222,Multan,Residential,210.5,185.7,0.882,0.306,1.22,0,0
MTR-001992,CUS-001992,Peshawar,Residential,127.4,136.5,1.071,0.343,2.93,0,0
MTR-000211,CUS-000211,Lahore,Industrial,2745.8,3365.6,1.226,0.366,2.92,0,0
MTR-002689,CUS-002689,Karachi,Residential,193.8,166.6,0.86,0.334,1.54,1,0
MTR-001949,CUS-001949,Peshawar,Residential,176.5,173.8,0.985,0.24,1.06,2,0
MTR-001362,CUS-001362,Lahore,Residential,238.4,268.8,1.128,0.443,1.89,0,0
MTR-002151,CUS-002151,Lahore,Residential,198.2,211.8,1.068,0.32,2.7,0,0
MTR-002153,CUS-002153,Rawalpindi,Residential,220.6,237.0,1.075,0.461,2.31,0,0
MTR-000567,CUS-000567,Karachi,Residential,176.0,176.6,1.004,0.315,3.82,1,0
MTR-002206,CUS-002206,Rawalpindi,Residential,197.0,134.2,0.681,0.28,1.41,0,0
MTR-002093,CUS-002093,Karachi,Residential,231.8,239.0,1.031,0.411,1.44,2,0
MTR-001710,CUS-001710,Islamabad,Commercial,1324.1,1383.4,1.045,0.324,2.88,1,0
MTR-001263,CUS-001263,Faisalabad,Residential,162.3,184.2,1.135,0.311,0.33,1,0
MTR-002123,CUS-002123,Islamabad,Residential,148.4,135.0,0.91,0.204,1.44,1,0
MTR-000798,CUS-000798,Karachi,Residential,127.8,153.6,1.202,0.353,1.87,0,0
MTR-000080,CUS-000080,Karachi,Residential,247.1,237.9,0.963,0.261,1.99,0,0
MTR-000032,CUS-000032,Rawalpindi,Industrial,5451.3,5135.6,0.942,0.264,1.49,0,0
MTR-000414,CUS-000414,Islamabad,Residential,67.8,61.9,0.914,0.261,0.18,0,0
MTR-001804,CUS-001804,Islamabad,Residential,282.9,318.4,1.126,0.335,3.41,1,0
MTR-002213,CUS-002213,Multan,Residential,234.4,203.6,0.868,0.177,3.36,1,0
MTR-001321,CUS-001321,Rawalpindi,Commercial,715.9,770.2,1.076,0.283,0.34,2,0
MTR-001567,CUS-001567,Multan,Residential,158.2,142.9,0.903,0.378,2.67,1,0
MTR-000783,CUS-000783,Karachi,Residential,43.3,43.1,0.995,0.2,1.86,1,0
MTR-002991,CUS-002991,Islamabad,Residential,217.5,177.7,0.817,0.314,2.56,0,0
MTR-001412,CUS-001412,Faisalabad,Residential,186.0,203.5,1.094,0.249,2.28,0,0
MTR-000457,CUS-000457,Islamabad,Residential,113.9,111.8,0.982,0.268,0.54,0,0
MTR-000139,CUS-000139,Faisalabad,Residential,186.1,198.5,1.067,0.432,2.8,0,0
MTR-002230,CUS-002230,Peshawar,Residential,224.2,219.4,0.979,0.168,1.45,1,0
MTR-001025,CUS-001025,Rawalpindi,Residential,180.7,192.1,1.063,0.361,0.1,0,0
MTR-000088,CUS-000088,Rawalpindi,Commercial,550.5,106.4,0.193,0.767,6.68,1,1
MTR-001442,CUS-001442,Faisalabad,Residential,340.8,371.1,1.089,0.258,0.44,0,0
MTR-001831,CUS-001831,Faisalabad,Residential,175.1,186.3,1.064,0.211,3.14,0,0
MTR-002576,CUS-002576,Multan,Residential,109.0,111.6,1.024,0.36,1.71,0,0
MTR-000254,CUS-000254,Peshawar,Residential,275.9,246.1,0.892,0.285,2.08,0,0
MTR-000605,CUS-000605,Peshawar,Residential,144.2,136.6,0.948,0.275,2.52,0,0
MTR-001044,CUS-001044,Faisalabad,Industrial,3151.0,2859.0,0.907,0.309,2.1,0,0
MTR-000568,CUS-000568,Multan,Residential,206.0,241.3,1.171,0.286,1.41,1,0
MTR-001732,CUS-001732,Lahore,Residential,82.7,90.4,1.094,0.14,3.13,0,0
MTR-002542,CUS-002542,Islamabad,Residential,151.5,152.2,1.005,0.261,1.89,0,0
MTR-000857,CUS-000857,Faisalabad,Industrial,5356.6,4995.3,0.933,0.372,0.88,0,0
MTR-002472,CUS-002472,Peshawar,Residential,238.1,215.5,0.905,0.179,2.35,0,0
MTR-000817,CUS-000817,Karachi,Commercial,939.9,953.7,1.015,0.213,1.92,0,0
MTR-002030,CUS-002030,Peshawar,Residential,200.0,244.2,1.221,0.266,1.98,1,0
MTR-001877,CUS-001877,Peshawar,Residential,85.3,85.4,1.001,0.242,2.13,0,0
MTR-000141,CUS-000141,Faisalabad,Residential,327.7,375.0,1.144,0.298,2.06,0,0
MTR-000443,CUS-000443,Faisalabad,Residential,31.3,32.3,1.033,0.213,3.46,0,0
MTR-001174,CUS-001174,Multan,Residential,120.0,128.1,1.068,0.269,1.2,0,0
MTR-000486,CUS-000486,Lahore,Residential,61.1,57.6,0.943,0.296,0.1,0,0
MTR-000881,CUS-000881,Islamabad,Commercial,677.4,661.4,0.976,0.352,2.0,1,0
MTR-002564,CUS-002564,Islamabad,Industrial,2704.9,2435.2,0.9,0.4,2.83,0,0
MTR-001084,CUS-001084,Rawalpindi,Residential,76.6,79.4,1.037,0.279,0.44,1,0
MTR-001299,CUS-001299,Peshawar,Residential,168.2,163.3,0.971,0.451,2.36,0,0
MTR-000175,CUS-000175,Rawalpindi,Residential,230.7,240.7,1.043,0.285,0.59,0,0
MTR-001094,CUS-001094,Islamabad,Residential,223.3,196.9,0.882,0.366,2.84,0,0
MTR-002700,CUS-002700,Lahore,Commercial,772.7,815.0,1.055,0.455,2.01,1,0
MTR-002846,CUS-002846,Faisalabad,Commercial,966.4,986.0,1.02,0.311,1.12,0,0
MTR-001963,CUS-001963,Peshawar,Residential,226.6,230.3,1.016,0.19,0.4,0,0
MTR-002681,CUS-002681,Lahore,Residential,230.9,241.7,1.047,0.307,4.18,0,0
MTR-002097,CUS-002097,Karachi,Residential,277.1,269.2,0.971,0.251,4.31,0,0
MTR-002155,CUS-002155,Rawalpindi,Residential,164.6,239.8,1.457,0.278,0.92,0,0
MTR-001556,CUS-001556,Faisalabad,Residential,186.5,197.0,1.056,0.459,0.9,1,0
MTR-001670,CUS-001670,Peshawar,Residential,95.0,96.2,1.013,0.202,2.08,0,0
MTR-000177,CUS-000177,Faisalabad,Residential,127.0,138.3,1.089,0.324,1.61,0,0
MTR-001078,CUS-001078,Faisalabad,Residential,225.2,54.3,0.241,0.811,7.63,2,1
MTR-000598,CUS-000598,Faisalabad,Residential,100.5,93.8,0.933,0.275,2.28,1,0
MTR-002190,CUS-002190,Peshawar,Residential,15.0,16.4,1.096,0.36,3.92,1,0
MTR-002531,CUS-002531,Lahore,Residential,267.9,296.5,1.107,0.325,3.36,1,0
MTR-002667,CUS-002667,Faisalabad,Residential,177.9,203.3,1.143,0.282,1.68,0,0
MTR-002786,CUS-002786,Peshawar,Residential,232.1,192.4,0.829,0.248,2.72,1,0
MTR-000479,CUS-000479,Faisalabad,Residential,153.3,151.0,0.985,0.325,0.15,0,0
MTR-001967,CUS-001967,Karachi,Residential,185.2,192.5,1.04,0.437,2.14,0,0
MTR-001057,CUS-001057,Lahore,Residential,284.3,308.9,1.086,0.228,1.76,0,0
MTR-002268,CUS-002268,Karachi,Residential,136.1,40.2,0.295,0.813,5.21,2,1
MTR-000533,CUS-000533,Multan,Industrial,6338.7,5691.3,0.898,0.396,2.62,0,0
MTR-001103,CUS-001103,Rawalpindi,Commercial,504.1,535.2,1.062,0.41,2.31,0,0
MTR-001106,CUS-001106,Karachi,Commercial,980.5,1018.3,1.039,0.325,2.46,0,0
MTR-002927,CUS-002927,Karachi,Industrial,6278.5,6518.5,1.038,0.394,1.57,0,0
MTR-001123,CUS-001123,Karachi,Residential,160.8,139.6,0.868,0.219,2.97,0,0
MTR-000942,CUS-000942,Rawalpindi,Residential,186.0,165.1,0.888,0.247,2.46,1,0
MTR-000162,CUS-000162,Faisalabad,Residential,61.0,74.3,1.217,0.361,1.84,0,0
MTR-001551,CUS-001551,Faisalabad,Residential,215.2,240.7,1.118,0.324,2.1,1,0
MTR-000965,CUS-000965,Faisalabad,Residential,139.1,138.0,0.992,0.288,2.84,0,0
MTR-000471,CUS-000471,Multan,Residential,221.2,220.0,0.994,0.1,2.94,0,0
MTR-000844,CUS-000844,Lahore,Residential,249.2,315.7,1.267,0.265,1.66,0,0
MTR-000998,CUS-000998,Karachi,Residential,136.2,136.9,1.005,0.206,1.11,0,0
